HISTORIC DATA TABLE ($USD unless otherwise noted),,,,,,,,,,,,,,,
updated 21DEC24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,
LETTER KEY for REFERENCE NUMBERS (###.### + letter):  D=Deutsch (German) dial;  E=English dial;  F=Single-folding deployant buckle;  G=Double-folding deployant buckle; X=variation of a standard model,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,
REF. NO. (SORTED BY FAMILY/ MODEL),FAMILY / MODEL (ALPHABETICALLY SORTED),CASE METAL,DIAL,HANDS,STRAP,LUG & BUCKLE WIDTHS (mm),CASE SIZE diam/height (mm),MOVEMENT CALIBRE,LTD. ED.?,NOTES,FIRST YEAR MADE,LATEST YEAR REPORTED MADE,FIRST YEAR PRICE,LATEST PRICE (RED IS CURRENT),REF. NO. (SORTED BY FAMILY/ MODEL)
130.025F,Lange 31,PT,rhodium,WG,croc (black),22/18,45.9/15.9,L034.1,no,Sold w/quick-release deployant buckle.,2009,2018,"$151,000","$178,400",130.025F
130.032F,Lange 31,RG,silver,RG,croc (reddish),22/18,45.9/15.9,L034.1,no,Sold w/quick-release deployant buckle.,2009,2018,"$114,000","$143,300",130.032F
130.039F,Lange 31,WG,grey,WG,croc (dark brown),22/18,45.9/15.9,L034.1,100,Sold w/quick-release deployant buckle.,2017,2023,"€142,300","$191,200",130.039F
831.042/5/7,Lange 31 (set of 3),see Notes,see Notes,see Notes,croc (various),22/18,45.9/15.9,L034.1,1,"3 unique jeweled pieces: 831.045F PT/rhodium dial) 831.047F WG/grey dial (caseback #191852, movement #18765), 837.042F RG/silver dial. Diamonds on bezel, case, lugs, pusher, & crown. Originally commissioned as set of 3 but pieces were sold separately.",2015,2015,"$1,360,000","$1,360,000",831.042/5/7
301.005,Langematik no date,PT,rhodium,WG luminous,crocodile,19/16,36.8/8.2,L921.2,no,Solid caseback. 1 known (case #115768).,c.1997,c.1997,"$13,800","$13,800",301.005
301.021,Langematik no date,YG,champagne,YG luminous,crocodile,19/16,36.8/8.2,L921.2,no,,1997,2005,"$13,800","$14,700",301.021
301.025,Langematik no date,PT,rhodium,WG luminous,crocodile,19/16,36.8/8.2,L921.2,no,,1997,2005,"$21,500","$22,900",301.025
301.027,Langematik no date,WG,black,WG luminous,crocodile,19/16,36.8/8.2,L921.2,no,There exists a piece unique with a blue dial (case #114767).,1997,2004,"$13,800","$13,800",301.027
N/A,Langematik no date,SS,rhodium,WG luminous,crocodile,19/16,36.8/8.2,L921.2,N/A,"Piece unique, case #11571x, movement #1137y, used for testing the L921.2 movement (c.1996).",1996,1996,see notes,see notes,N/A
302.025,"Langematik Anniversary ""Jubilee / Jubiläum""",PT,"enamel, white w/red ""XII""",blue steel,crocodile,19/16,37.0/8.6,L921.7,500,"Case # 132028, movement # 13186, LE# 28/500 is a STOLEN WATCH. It is likely that fewer than 500 were sold even though caseback numbers are in the 400s. Cases numbered 132001-132500.",2001,2004,"$23,400","$23,400",302.025
304.047,Große Langematik Gangreserve (Wempe),RG,silver,blue steel,croc (brown),20/16,40.6/9.6,L921.6,25,"Sold only by Wempe's NYC US store to celebrate the 25th anniversary of Wempe's NYC store and 100th anniversary of Wempe's chronometre manufactory. Came in ship's chronometer box, Cases numbered 160201-160225 (2005).",2005,2006,"$26,200","$26,200",304.047
304.048,Große Langematik Gangreserve (Wempe),YG,silver,blue steel,croc (black),20/16,40.6/9.6,L921.6,100,For retailer Wempe to celebrate the 100th anniversary of Wempe's chronometre manufactory. Came in ship's chronometer box. Cases numbered 160001-160100 (2005).,2005,2006,"$26,200","$26,200",304.048
304.049,Große Langematik Gangreserve (Wempe),PT,silver,blue steel,croc (brown),20/16,40.6/9.6,L921.6,100,For retailer Wempe to celebrate the 100th anniversary of Wempe's chronometre manufactory. Came in ship's chronometer box. Cases numbered 160101-160200 (2005).,2005,2006,"$39,700","$39,700",304.049
308.021,Langematik w/Big Date,YG,champagne,YG luminous,crocodile,19/16,37.0/9.7,L921.4,no,A few had blue hands.,1997,2007,"$18,600","$22,500",308.021
308.025,Langematik w/Big Date,PT,rhodium or black,WG luminous,crocodile,19/16,37.0/9.7,L921.4,no,Black dials are rare and originally had rhodium dial back when Lange honored dial swapping requests.,1997,2007,"$26,900","$33,100",308.025
308.027,Langematik w/Big Date,WG,black,WG luminous,crocodile,19/16,37.0/9.7,L921.4,no,Case # 121128 has silver dial w/RG markers and RG hands.,1997,2007,"$18,600","$22,500",308.027
308.031,Langematik w/Big Date,RG,black,RG luminous,crocodile,19/16,37.0/9.7,L921.4,no,,2001,2005,"$18,600","$19,800",308.031
308.032,Langematik w/Big Date,RG,silver,RG luminous,crocodile,19/16,37.0/9.7,L921.4,no,Case #142069 has non-Lange blue hands.,2001,2007,"$18,600","$22,500",308.032
308.321,Langematik w/Big Date,YG,champagne,YG luminous,bracelet,19/16,37.0/9.7,L921.4,no,,2006,2007,"$33,800","$34,900",308.321
309.021,Grand Langematik ,YG,champagne,YG luminous,crocodile,20/16,40.5/10.7,L921.4,no,,2003,2007,"$19,900","$24,200",309.021
309.025,Grand Langematik ,PT,rhodium,WG luminous,crocodile,20/16,40.5/10.7,L921.4,no,,2003,2007,"$29,900","$37,100",309.025
309.031,Grand Langematik ,RG,black,RG luminous,crocodile,20/16,40.5/10.7,L921.4,no,,2003,2007,"$19,900","$24,200",309.031
310.021,Langematik Perpetual,YG,champagne,YG luminous,crocodile,20/16,38.5/10.2,L922.1,no,"Corrector pushbutton changed from rectangular protruding to round recessed in 2004. Came with Lange winder in yellow brass (2 generations of yellow winders, only 1st gen was made by Scatola).",2001,2007,"$44,800","$55,200",310.021
310.025E,Langematik Perpetual,PT,rhodium,WG luminous,croc (black),20/16,38.5/10.2,L922.1,no,"Corrector pushbutton changed from rectangular protruding to round recessed in 2004. Dial color changed to brighter metallic silver sometime before 2013. Blue moon disc also got brighter. Came with Lange winder in silver metal (3 generations of silver winders, only 1st gen was made by Scatola).",2001,2017,"$54,400","$97,900",310.025E
310.026E,Langematik Perpetual,WG,black,WG luminous,croc (black),20/16,38.5/10.2,L922.1,no,Came with silver metal Lange winder.,2014,2017,"$84,200","$83,000",310.026E
310.028E,Langematik Perpetual,WG,blue grooved,WG luminous,croc (dark blue),20/16,38.5/10.2,L922.1,50,,2021,2024,"$91,800","$99,700",310.028E
310.032E,Langematik Perpetual,RG,silver,RG luminous,croc (red-brown),20/16,38.5/10.2,L922.1,no,Came with rose metal Lange winder.,2007,2017,"$62,900","$83,000",310.032E
310.037E,Langematik Perpetual,RG,blue grooved,RG luminous,croc (dark blue),20/16,38.5/10.2,L922.1,50,,2021,2024,"$91,800","$99,700",310.037E
310.047,Langematik Perpetual,RG,black,RG luminous,croc (black),20/16,38.5/10.2,L922.1,25,For retailer Sincere. Came with Lange winder in rose metal (2008).,2007,2008,???,???,310.047
310.050E,Langematik Perpetual,HG,silver grooved,HG luminous,croc (dark brown),20/16,38.5/10.2,L922.1,100,,2019,2021,"$85,000","$91,800",310.050E
310.221,Langematik Perpetual,YG,champagne,YG luminous,bracelet,20/16,38.5/10.2,L922.1,no,"Corrector pushbutton changed from rectangular protruding to round recessed in 2005-6. Came with Lange winder in yellow brass (2 generations of yellow winders, only 1st gen was made by Scatola).",2001,2007,"$55,900","$68,400",310.221
310.225E,Langematik Perpetual,PT,rhodium,WG luminous,bracelet,20/16,38.5/10.2,L922.1,no,"Corrector pushbutton changed from rectangular protruding to round recessed in 2005-6. Dial color and moonphase disc color varied over time. Came with Lange winder in silver metal (3 generations of silver winders, only 1st gen was made by Scatola). First offered 2001 priced ""on inquiry.""",2001,2011,"$91,100","$123,100",310.225E
310.232E,Langematik Perpetual,RG,silver,RG luminous,bracelet,20/16,38.5/10.2,L922.1,no,Came with Lange winder in rose metal.,2007,2012,"$76,100","$84,500",310.232E
310.836,Langematik Perpetual,PT w/36 baguette diamond bezel,black w/black subdials and white-on-black date,WG luminous,croc (black),20/16,38.5/10.2,L922.1,2,"Ref. no. 310.836, 320.836, and 405.836 sold as set of 3 in special wood box for retailer Hour Glass Japan's 20th Anniversary (2016).",2016,2016,"€393,000","€393,000",310.836
351.021,Langematik no date,YG,champagne,YG luminous,bracelet,19/16,36.8/8.2,L921.2,no,,1997,2002,"$24,900","$24,900",351.021
351.025,Langematik no date,PT,rhodium,WG luminous,bracelet,19/16,36.8/8.2,L921.2,no,,1998,2002,inquiry,inquiry,351.025
351.027,Langematik no date,WG,black,WG luminous,bracelet,19/16,36.8/8.2,L921.2,no,,1997,2002,"$24,900","$25,900",351.027
358.021,Langematik w/Big Date,YG,champagne,YG luminous,bracelet,19/16,37.0/9.7,L921.4,no,,1997,2006,"$29,700","$32,800",358.021
358.025,Langematik w/Big Date,PT,rhodium,WG luminous,bracelet,19/16,37.0/9.7,L921.4,no,,1997,2005,inquiry,inquiry,358.025
358.025X,Langematik w/Big Date,PT,"black, white-on-black date",WG luminous,bracelet,19/16,37.0/9.7,L921.4,no,"Not in catalog or on price lists. At least 2 exist, both sold by Wempe in Dresden (2005).",2005,2005,"€54,000","€54,000",358.025X
358.027,Langematik w/Big Date,WG,black,WG luminous,bracelet,19/16,37.0/9.7,L921.4,no,,1997,2002,"$30,700","$30,700",358.027
820.021,Langematik Perpetual,YG w/54 brilliants,champagne,YG luminous,croc (brown),20/16,38.5/10.2,L922.1,no,,2003,2010,??,??,820.021
820.026,Langematik Perpetual,PT w/48 brilliants,rhodium,WG luminous,croc (black),20/16,38.5/10.2,L922.1,?,"One has case #171229, movement #49684. One sold sold as set with 820.046 as ""No. 1."" Same watch?",2002,??,"c.$105,800","c.$105,800",820.026
820.036,Langematik Perpetual,PT w/48 brilliants,"black, white-on-black date",WG luminous,croc (black),20/16,38.5/10.2,L922.1,no,Few made.,2004,2004,"€89,600","€89,600",820.036
820.046,Langematik Perpetual,PT w/48 blue sapphires,rhodium,WG luminous,croc (black),20/16,38.5/10.2,L922.1,?,"One sold sold as set with 820.026 as ""No. 1.""",2002,??,??,??,820.046
363.038,Odysseus Datomatic,WG,grey,WG luminous,leather (brown),26/19,40.5/11.1,L155.1,no,120M water resistance,2020,2023,"$40,600","$55,200",363.038
363.068,Odysseus Datomatic,WG,grey,WG luminous,rubber (black),26/19,40.5/11.1,L155.1,no,120M water resistance,2020,2024,"$40,600","$55,200",363.068
363.117,Odysseus Datomatic,TI,ice blue,WG luminous,bracelet,26/19,40.5/11.1,L155.1,250,120M water resistance.,2022,2024,"$56,500","$62,200",363.117
363.179,Odysseus Datomatic,SS,dark blue,WG luminous,bracelet,26/19,40.5/11.1,L155.1,no,120M water resistance,2019,2024,"$28,800","$39,100",363.179
463.178,Odysseus Chronograph,SS,black,WG luminous + steel + red,bracelet,26/19,42.5/14.2,L156.1,100,120M water resistance,2023,2024,"€135,000","€135,000",463.178
180.026FE,"Richard Lange Perpetual Calendar ""Terraluna""",WG,silver,blue steel,croc (black),22/18,45.5/16.5,L096.1,no,Sold w/quick-release deployant buckle.,2014,2024,"$230,400","$247,800",180.026FE
180.032FE,"Richard Lange Perpetual Calendar ""Terraluna""",RG,silver,RG,croc (red-brown),22/18,45.5/16.5,L096.1,no,Sold w/quick-release deployant buckle.,2014,2024,"$230,400","$247,800",180.032FE
232.021,Richard Lange,YG,silver,YG,croc (brown),20/16,40.5/10.5,L041.2,no,,2006,2010,"$19,900","$25,300",232.021
232.025,Richard Lange,PT,rhodium,WG,croc (black),20/16,40.5/10.5,L041.2,no,,2006,2020,"$31,100","$47,300",232.025
232.026,"Richard Lange ""Boutique Edition""",WG,silver,blue steel,croc (black),20/16,40.5/10.5,L041.2,no,Sold only in Lange boutiques for first 2 years it was available.,2013,2023,"$31,500","$40,400",232.026
232.032,Richard Lange,RG,silver,RG,croc (reddish),20/16,40.5/10.5,L041.2,no,,2006,2023,"$19,900","$40,400",232.032
250.025,Richard Lange Referenzuhr,PT,rhodium,WG,croc (black),20/16,40.5/11.2,L033.1,50,,2010,2013,"$65,400","$69,000",250.025
250.032,Richard Lange Referenzuhr,RG,silver,RG,croc (reddish),20/16,40.5/11.2,L033.1,75,,2010,2013,"$52,200","$55,100",250.032
252.025,Richard Lange Jumping Seconds,PT,rhodium,WG + blue steel,croc (black),20/16,39.9/10.6,L094.1,100,,2016,2020,"$82,500","$84,200",252.025
252.029,Richard Lange Jumping Seconds,WG,black,WG,croc (black),20/16,39.9/10.6,L094.1,no,,2019,2024,"$75,100","$97,800",252.029
252.032,Richard Lange Jumping Seconds,RG,silver,RG + blue steel,croc (reddish),20/16,39.9/10.6,L094.1,100,,2017,2020,"$78,100","$82,500",252.032
260.025,"Richard Lange ""Pour le Mérite""",PT,enamel/white,blue steel,croc (brown),20/16,40.5/10.7,L044.1,50,,2009,2013,"$128,600","$135,000",260.025
260.028,"Richard Lange ""Pour le Mérite""",WG,black,WG,croc (black),20/16,40.5/10.7,L044.1,218,LE of 218 because Lange had 218 dealers when this watch was released. Cases numbered 229401-229618.,2016,2020,"$82,500","$90,200",260.028
260.032,"Richard Lange ""Pour le Mérite""",RG,enamel/white,blue steel,croc (brown),20/16,40.5/10.7,L044.1,200,,2009,2015,"$107,600","$113,500",260.032
606.079F,Richard Lange Minute Repeater,PT,enamel/white,blue steel,croc (black),20/16,39.0/9.7,L122.1,50,Sold w/deployant buckle. Sold only in Lange boutiques.,2022,2024,"€409,000","€409,000",606.079F
760.025F,"Richard Lange Tourbillion ""Pour le Mérite""",PT,rhodium,WG,croc (black),22/18,41.9/12.2,L072.1,100,Caseback #198320 (#090/100) has blue hands. Sold w/deployant buckle.,2011,2017,"$211,900","$223,600",760.025F
760.026F,"Richard Lange Tourbillion ""Pour le Mérite"" ""Boutique Edition""",WG,silver,blue steel,croc (black),22/18,41.9/12.2,L072.1,no,Sold w/deployant buckle. Sold only in Lange boutiques.,2014,2022,"$212,900","$233,400",760.026F
760.032F,"Richard Lange Tourbillion ""Pour le Mérite""",RG,silver,RG,croc (reddish),22/18,41.9/12.2,L072.1,no,Sold w/deployant buckle.,2011,2022,"$175,600","$247,400",760.032F
761.050,"Richard Lange Tourbillion ""Pour le Mérite"" ""Handwerkskunst""",HG,"honey gold, hand-engraved",HG,croc (brown),22/18,41.9/12.2,L072.1,15,,2011,2012,"$244,670","$244,670",761.050
883.036F,"Richard Lange Tourbillion ""Pour le Mérite""",PT w/diamonds,rhodium,blue steel,croc (black),22/18,41.9/12.2,L072.1,1,Caseback #200300. Sold with deployant buckle.,2013,2013,"c.$400,000","c.$400,000",883.036F
102.001,Saxonia,YG,champagne,YG,crocodile,18/16,33.9/9.1,L911.3,no,Solid caseback.,1994,1997,"DM 16,900","$12,400",102.001
102.002,Saxonia,YG,"silver, printed markers",blue steel,crocodile,18/16,33.9/9.1,L911.3,no,Solid caseback.,1994,1997,"DM 16,900","$12,400",102.002
105.021,Saxonia,YG,champagne,YG,crocodile,18/16,33.9/9.1,L941.3,no,,1997,2007,"$12,400","$15,300",105.021
105.022,Saxonia,YG,silver,blue steel,crocodile,18/16,33.9/9.1,L941.3,no,,1997,2004,"$12,400","$12,800",105.022
105.025,Saxonia,PT,rhodium,WG,crocodile,18/16,33.9/9.1,L941.3,no,,1997,2007,"$18,600","$23,400",105.025
105.027,Saxonia,WG,blue,WG,crocodile,18/16,33.9/9.1,L941.3,no,At least 1 piece had silver dial and blue steel hands.,1997,2002,"$12,400","$12,400",105.027
105.035,Saxonia,PT,black,WG,crocodile,18/16,33.9/9.1,L941.3,no,,1999,2004,"$18,600","$19,300",105.035
155.001,Saxonia,YG,champagne,YG,bracelet,18/16,33.9/9.1,L941.3,no,Solid caseback,1994?,2000?,?,?,155.001
155.021,Saxonia,YG,champagne,YG,bracelet,18/16,33.9/9.1,L941.3,no,,1997,2001,"$23,500","$23,500",155.021
155.025,Saxonia,PT,rhodium,WG,bracelet,18/16,33.9/9.1,L941.3,no,,1997,2002,inquiry,inquiry,155.025
155.027,Saxonia,WG,blue,WG,bracelet,18/16,33.9/9.1,L941.3,no,,1997,2002,"$24,500","$24,500",155.027
155.035,Saxonia,PT,black,WG,bracelet,18/16,33.9/9.1,L941.3,no,,1999,2002,inquiry,inquiry,155.035
201.027,Saxonia Thin,WG,silver,WG,croc (black),19/16,37.0/5.9,L093.1,no,,2016,2024,"$14,800","$23,500",201.027
201.033,Saxonia Thin,RG,silver,RG,croc (red-brown),19/16,37.0/5.9,L093.1,no,,2016,2024,"$14,800","$23,500",201.033
205.086,Saxonia Thin,WG,"""copper"" blue (goldstone/aventurine)",WG,croc (blue),20/16,39.0/6.2,L093.1,no,supposedly limited production,2018,2024,"€20,800","$29,000",205.086
211.026,Saxonia Thin,WG,silver,WG,croc (black),20/16,40.0/5.9,L093.1,no,,2012,2015,"$25,100","$25,700",211.026
211.027,Saxonia Thin,WG,silver,WG,croc (black),20/16,40.0/5.9,L093.1,no,,2016,2017,"$24,500","$24,500",211.027
211.032,Saxonia Thin,RG,silver,RG,croc (reddish),20/16,40.0/5.9,L093.1,no,,2011,2022,"$19,700","$24,500",211.032
211.033,Saxonia Thin,RG,silver,RG,croc (red-brown),20/16,40.0/5.9,L093.1,no,,2016,2017,"$24,500","$24,500",211.033
211.087,Saxonia Thin,WG,"""copper"" black (goldstone/aventurine)",WG,croc (black),20/16,40.0/6.2,L093.1,50,Sold only in Lange boutiques.,2020,2021,"$25,800","$26,100",211.087
211.088,Saxonia Thin,RG,"""copper"" blue (goldstone/aventurine)",RG,croc (drk blue shiny),20/16,40.0/6.2,L093.1,50,Sold only in Lange boutiques.,2021,2021,"$27,100","$27,100",211.088
215.021,Saxonia,YG,champagne,YG,crocodile,19/16,37.0/7.3,L941.1,no,,2007,2011,"$15,100","$15,900",215.021
215.026,Saxonia,WG,silver,WG,crocodile,19/16,37.0/7.3,L941.1,no,,2007,2011,"$15,100","$15,900",215.026
215.029,Saxonia,WG,black,WG,crocodile,19/16,37.0/7.3,L941.1,no,,2007,2010,"$15,100","$15,900",215.029
215.032,Saxonia,RG,silver,RG,crocodile,19/16,37.0/7.3,L941.1,no,,2007,2011,"$15,100","$15,900",215.032
215.033,Saxonia,RG,grey,RG,crocodile,19/16,37.0/7.3,L941.1,no,,2007,2010,"$15,100","$15,900",215.033
215.049,Saxonia,WG,"black w/lume dot every 5 minutes, silver seconds subdial",WG luminous,crocodile,19/16,37.0/7.3,L941.1,25,"Sold in Japan, Italy, & Germany.",2009,2009,"JPY 1,820,000","JPY 1,820,000",215.049
215.321,Saxonia,YG,champagne,YG,bracelet,19/16,37.0/7.3,L941.1,no,,2007,2009,"$28,300","$29,800",215.321
215.326,Saxonia,WG,silver,WG,bracelet,19/16,37.0/7.3,L941.1,no,,2007,2009,"$29,700","$31,300",215.326
215.329,Saxonia,WG,black,WG,bracelet,19/16,37.0/7.3,L941.1,no,,2007,2009,"$29,700","$31,300",215.329
215.332,Saxonia,RG,silver,RG,bracelet,19/16,37.0/7.3,L941.1,no,,2007,2009,"$28,300","$29,800",215.332
215.333,Saxonia,RG,grey,RG,bracelet,19/16,37.0/7.3,L941.1,no,,2007,2009,"$28,300","$29,800",215.333
216.021,Saxonia,YG,champagne,YG,croc (brown),19/16,37.0/7.7,L941.1,no,,2011,2013,"$16,800","$17,800",216.021
216.026,Saxonia,WG,silver,WG,croc (black),19/16,37.0/7.7,L941.1,no,,2011,2022,"$18,000","$19,700",216.026
216.027,"Saxonia ""Boutique Edition""",WG,grey,WG,croc (black),19/16,37.0/7.8,L941.1,no,Sold only in Lange boutiques.,2015,2021,"$17,800","$18,800",216.027
216.032,Saxonia,RG,silver,RG,croc (reddish),19/16,37.0/7.7,L941.1,no,,2011,2022,"$16,800","$19,700",216.032
216.033,"Saxonia ""Boutique Edition""",RG,grey,RG,croc (red-brown),19/16,37.0/7.8,L941.1,no,Sold only in Lange boutiques.,2015,2021,"$16,600","$18,800",216.033
219.026,Saxonia,WG,silver,WG,croc,18/16,35.0/7.3,L941.1,no,,2015,2023,"$16,000","$23,000",219.026
219.028,Saxonia,WG,blue,WG,croc (blue),18/16,35.0/7.3,L941.1,no,Announced as being produced only for 1 year.,2017,2020,"$14,800","$15,500",219.028
219.032,Saxonia,RG,silver,RG,croc (reddish),18/16,35.0/7.3,L941.1,no,,2015,2023,"$14,800","$23,000",219.032
219.043,Saxonia,RG,MOP,RG,croc (white),18/16,35.0/7.3,L941.1,no,,2017,2023,"€16,500","$25,400",219.043
219.047,Saxonia,WG,MOP,WG,croc (white),18/16,35.0/7.3,L941.1,no,,2017,2023,"€16,500","$25,400",219.047
307.026,Grand Saxonia Automatik,WG,silver,WG,crocodile,20/16,40.6/8.2,L921.2,no,,2007,2011,"$21,400","$22,900",307.026
307.029,Grand Saxonia Automatik,WG,black,WG,crocodile,20/16,40.6/8.2,L921.2,no,,2007,2010,"$21,400","$22,900",307.029
307.032,Grand Saxonia Automatik,RG,silver,RG,crocodile,20/16,40.6/8.2,L921.2,no,,2007,2011,"$21,400","$22,900",307.032
307.033,Grand Saxonia Automatik,RG,grey,RG,crocodile,20/16,40.6/8.2,L921.2,no,,2007,2010,"$21,400","$22,900",307.033
308.047,Saxonia Automatic w/Outsize Date,RG,silver,RG,croc (red-brown),19/16,37.0/9.7,L921.4,25,Sold only in Lange boutiques.,2013,2014,"$34,600","$34,600",308.047
315.026,Saxonia Automatik,WG,silver,WG,croc (black),19/16,37.0/9.7,L921.4,no,,2007,2011,"$24,100","$25,800",315.026
315.032,Saxonia Automatik,RG,silver,RG,croc (reddish),19/16,37.0/9.7,L921.4,no,,2007,2011,"$24,100","$25,800",315.032
315.033,Saxonia Automatik,RG,grey,RG,croc (reddish),19/16,37.0/9.7,L921.4,no,,2007,2010,"$24,100","$25,800",315.033
315.326,Saxonia Automatik,WG,silver,WG,bracelet,19/16,37.0/9.7,L921.4,no,,2007,2009,"$38,700","$41,200",315.326
315.332,Saxonia Automatik,RG,silver,RG,bracelet,19/16,37.0/9.7,L921.4,no,,2007,2009,"$37,300","$39,700",315.332
315.333,Saxonia Automatik,RG,grey,RG,bracelet,19/16,37.0/9.7,L921.4,no,,2007,2009,"$37,300","$39,700",315.333
330.025E,Saxonia Annual Calendar,PT,rhodium,WG,croc (black),20/16,38.5/9.8,L085.1,no,,2013,2022,"$58,400","$64,400",330.025E
330.026E,Saxonia Annual Calendar,WG,silver,blue steel,croc (brown),20/16,38.5/9.8,L085.1,no,,2010,2022,"$36,400","$57,300",330.026E
330.032E,Saxonia Annual Calendar,RG,silver,RG,croc (brown),20/16,38.5/9.8,L085.1,no,,2010,2022,"$36,400","$57,300",330.032E
330.039,Saxonia Annual Calendar,WG,grey w/white-on-grey date,WG,croc (shiny blue),20/16,38.5/9.8,L085.1,25,Sold only in US Lange boutiques.,2018,2018,"$54,500","$54,500",330.039
380.026,Saxonia Automatik,WG,silver,WG,croc (black),20/16,38.5/7.8,L086.1,no,,2011,2015,"$22,200","$27,000",380.026
380.027,Saxonia Automatik,WG,silver,WG,croc (black),20/16,38.5/7.8,L086.1,no,,2015,2023,"$27,000","$30,700",380.027
380.028,Saxonia Automatik,WG,blue,WG,croc (blue),20/16,38.5/7.8,L086.1,no,Announced as being produced only for 1 year.,2017,2020,"$25,800","$27,600",380.028
380.032,Saxonia Automatik,RG,silver,RG,croc (reddish),20/16,38.5/7.8,L086.1,no,,2011,2022,"$20,900","$27,600",380.032
380.033,Saxonia Automatik,RG,silver,RG,croc (reddish),20/16,38.5/7.8,L086.1,no,,2015,2023,"$25,800","$30,700",380.033
380.042,Saxonia Automatik,RG,terra brown,RG,croc (red-brown),20/16,38.5/7.8,L086.1,no,"Celebrating reopening of Lange boutique in Ginza, Tokyo.",2016,2021,"$25,800","$27,600",380.042
380.044,Saxonia Automatik,WG,terra brown,WG,croc (dark brown),20/16,38.5/7.8,L086.1,no,"Celebrating reopening of Lange boutique in Ginza, Tokyo.",2016,2021,"$25,800","$27,600",380.044
381.026,Saxonia Outsize Date,WG,silver,WG,croc (black),20/16,38.5/9.6,L086.8,no,Also called 381.041 (with blue strap) in Europe.,2020,2023,"$27,700","$35,200",381.026
381.029,Saxonia Outsize Date,WG,"black, white-on-black date",WG,croc (black),20/16,38.5/9.6,L086.8,no,,2018,2023,"€24,500","$35,200",381.029
381.031,Saxonia Outsize Date,RG,"black, white-on-black date",RG,croc (black),20/16,38.5/9.6,L086.8,no,,2018,2023,"€24,500","$35,200",381.031
381.032,Saxonia Outsize Date,RG,silver,RG,croc (red-brown),20/16,38.5/9.6,L086.8,no,Also called 301.043 (with dark brown strap) in Europe.,2020,2023,"$27,700","$35,200",381.032
381.041,Saxonia Outsize Date,WG,silver,WG,croc (blue),20/16,38.5/9.6,L086.8,no,"European reference, mistakenly listed on 07/21 US price list?",2021,2021,"$27,700","$27,700",381.041
381.043,Saxonia Outsize Date,RG,silver,RG,croc (dark brown),20/16,38.5/9.6,L086.8,no,"European reference, mistakenly listed on 07/21 US price list?",2021,2021,"$27,700","$27,700",381.043
384.026,Saxonia Moonphase,WG,silver,WG,croc (black),20/16,40.0/9.8,L086.5,no,,2016,2023,"$29,000","$40,200",384.026
384.029,Saxonia Moonphase,WG,"black, white-on-black date",WG,croc (black),20/16,40.0/9.8,L086.5,no,,2018,2023,"€28,500","$40,200",384.029
384.031,Saxonia Moonphase,RG,"black, white-on-black date",RG,croc (black),20/16,40.0/9.8,L086.5,no,,2018,2023,"€28,500","$40,200",384.031
384.032,Saxonia Moonphase,RG,silver,RG,croc (red-brown),20/16,40.0/9.8,L086.5,no,,2016,2023,"$29,000","$40,200",384.032
385.026,Saxonia Dual Time,WG,silver,WG,croc (black),20/16,40.0/9.1,L086.2,no,,2011,2017,"$26,600","$32,000",385.026
385.032,Saxonia Dual Time,RG,silver,RG,croc (reddish),20/16,40.0/9.1,L086.2,no,,2011,2017,"$25,400","$32,000",385.032
386.026,Saxonia Dual Time,WG,silver,WG,croc (black),20/16,38.5/9.1,L086.2,no,,2015,2018,"$32,000","$30,800",386.026
386.032,Saxonia Dual Time,RG,silver,RG,crod (red-brown),20/16,38.5/9.1,L086.2,no,,2015,2018,"$30,800","$30,800",386.032
803.021,Saxonia,YG w/brilliants,champagne,YG,crocodile,18/16,33.9/9.1,L941.3,no,,2005,2006,"$23,600","$23,600",803.021
803.027,Saxonia,WG w/diamonds,blue,WG,crocodile,18/16,33.9/9.1,L941.3,no,,1997,2001,"$23,000","$23,000",803.027
803.028,Saxonia,WG w/bag. diamonds,blue,WG,crocodile,18/16,33.9/9.1,L941.3,no,,1997,2001,"$42,000","$42,000",803.028
803.029,Saxonia,WG w/diamonds,pavé,WG,crocodile,18/16,33.9/9.1,L941.3,no,,1997,2001,"$50,700","$50,700",803.029
803.030,Saxonia,WG w/brilliants,black,WG,crocodile,18/16,33.9/9.1,L941.3,no,,2004,2007,"$24,000","$24,400",803.030
803.031,Saxonia,WG w/bag. diamonds,black,WG,crocodile,18/16,33.9/9.1,L941.3,no,,2005,2006,"$45,400","$45,400",803.031
803.036,Saxonia,PT w/52 brilliants,black,WG,crocodile,18/16,33.9/9.1,L941.3,no,,2001,2001,?,?,803.036
835.021,Little Saxonia,YG w/diamonds,"MOP, white",YG,crocodile,18/16,34.0/8.0,L941.2,no,,2010,2011,"$32,400","$32,400",835.021
835.022,Little Saxonia,YG w/brilliants,silver guilloche,YG,croc (white),18/16,34.0/8.0,L941.2,no,,2011,2013,"$31,200","$33,100",835.022
835.029,Little Saxonia,WG w/diamonds,"MOP, white",WG,crocodile,18/16,34.0/8.0,L941.2,no,,2010,2011,"$32,400","$32,400",835.029
